experiment_date,ethoscope_id,sex,pair_id,focal_tube,yoked_tube,skip_rows,label,reason_tag,reason_note,reason_tag_secondary,reason_note_secondary,confidence_human
17-Mar-2026,Eth013,Male,5,9,20,37,Bad,missing_data,No data recorded,,,High
17-Mar-2026,Eth015,Male,1,1,12,37,Bad,flat_signal,Same as Eth007 P1 (17-Mar): long flat line in daytime first half from day 2,,,High
17-Mar-2026,Eth015,Male,2,3,14,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth015,Male,3,5,16,37,Bad,flat_signal,Same as Eth007 P1 (17-Mar): long flat line in daytime first half from day 2,,,High
17-Mar-2026,Eth015,Male,4,7,18,37,Good,pass_qc,,,,
17-Mar-2026,Eth015,Male,5,9,20,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth007,Male,1,1,12,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth007,Male,2,3,14,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth007,Male,3,5,16,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth007,Male,4,7,18,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth007,Male,5,9,20,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth008,Male,1,1,12,43,Good,pass_qc,,,,
27-Mar-2026,Eth008,Male,2,3,14,43,Good,pass_qc,,,,
27-Mar-2026,Eth008,Male,3,5,16,43,Good,pass_qc,,,,
27-Mar-2026,Eth008,Male,4,7,18,43,Good,pass_qc,,,,
27-Mar-2026,Eth008,Male,5,9,20,43,Good,pass_qc,,,,
27-Mar-2026,Eth011,Male,1,1,12,43,Bad,transition_issue,Day 5 light-to-dark transition: flies still asleep; expected some activeness at transition,,,High
27-Mar-2026,Eth011,Male,2,3,14,43,Good,pass_qc,,,,
27-Mar-2026,Eth011,Male,3,5,16,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth011,Male,4,7,18,43,Good,pass_qc,,,,
27-Mar-2026,Eth011,Male,5,9,20,43,Good,pass_qc,,,,
27-Mar-2026,Eth009,Female,1,1,12,43,Good,pass_qc,,,,
27-Mar-2026,Eth009,Female,2,3,14,43,Good,pass_qc,,,,
27-Mar-2026,Eth009,Female,3,5,16,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth009,Female,4,7,18,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth009,Female,5,9,20,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth010,Female,1,1,12,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth010,Female,2,3,14,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth010,Female,3,5,16,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth010,Female,4,7,18,43,Bad,tracking_error,Ethoscope device somewhat noisy; tracking does not match expected pattern every time (exact timing varies by pair),,,High
27-Mar-2026,Eth010,Female,5,9,20,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth012,Female,1,1,12,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth012,Female,2,3,14,43,Bad,missing_data,Data missing,,,High
27-Mar-2026,Eth012,Female,3,5,16,43,Bad,tracking_error,Ethoscope device somewhat noisy; tracking does not match expected pattern every time (exact timing varies by pair),,,High
27-Mar-2026,Eth012,Female,4,7,18,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth012,Female,5,9,20,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth013,Female,1,1,12,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth013,Female,2,3,14,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth013,Female,3,5,16,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth013,Female,4,7,18,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth013,Female,5,9,20,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth014,Female,1,1,12,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth014,Female,2,3,14,43,Bad,tracking_error,Ethoscope device somewhat noisy; tracking does not match expected pattern every time (exact timing varies by pair),,,High
27-Mar-2026,Eth014,Female,3,5,16,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth014,Female,4,7,18,43,Good,pass_qc,,,,
27-Mar-2026,Eth014,Female,5,9,20,43,Bad,tracking_error,Ethoscope device somewhat noisy; tracking does not match expected pattern every time (exact timing varies by pair),,,High
27-Mar-2026,Eth015,Female,1,1,12,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth015,Female,2,3,14,43,Bad,tracking_error,Ethoscope device somewhat noisy; tracking does not match expected pattern every time (exact timing varies by pair),,,High
27-Mar-2026,Eth015,Female,3,5,16,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth015,Female,4,7,18,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
27-Mar-2026,Eth015,Female,5,9,20,43,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth008,Male,1,1,12,34,Good,pass_qc,,,,
6-Apr-2026,Eth008,Male,2,3,14,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth008,Male,3,5,16,34,Bad,high_activity_anomaly,Mostly good but between day 4–5 data shows more activeness than expected,,,High
6-Apr-2026,Eth008,Male,4,7,18,34,Good,pass_qc,,,,
6-Apr-2026,Eth008,Male,5,9,20,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth009,Male,1,1,12,34,Bad,transition_issue,Light/dark transition activeness issue: at transition flies still sleeping (low activity when wake expected),,,High
6-Apr-2026,Eth009,Male,2,3,14,34,Good,pass_qc,,,,
6-Apr-2026,Eth009,Male,3,5,16,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth009,Male,4,7,18,34,Good,pass_qc,,,,
6-Apr-2026,Eth009,Male,5,9,20,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth011,Male,1,1,12,34,Bad,transition_issue,Same as 6-Apr Eth009 P1: transition activeness issue (flies still sleeping at LD transition),,,High
6-Apr-2026,Eth011,Male,2,3,14,34,Good,pass_qc,,,,
6-Apr-2026,Eth011,Male,3,5,16,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth011,Male,4,7,18,34,Good,pass_qc,,,,
6-Apr-2026,Eth011,Male,5,9,20,34,Bad,recovery_period_anomaly,Generally good pair but in recovery period between transitions fly is overly active,,,High
6-Apr-2026,Eth014,Male,1,1,12,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth014,Male,2,3,14,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth014,Male,3,5,16,34,Bad,flat_signal,Too flat lines of activeness in recovery period,,,High
6-Apr-2026,Eth014,Male,4,7,18,34,Good,pass_qc,,,,
6-Apr-2026,Eth014,Male,5,9,20,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth015,Male,1,1,12,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth015,Male,2,3,14,34,Good,pass_qc,,,,
6-Apr-2026,Eth015,Male,3,5,16,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth015,Male,4,7,18,34,Good,pass_qc,,,,
6-Apr-2026,Eth015,Male,5,9,20,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth007,Female,1,1,12,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth007,Female,2,3,14,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth007,Female,3,5,16,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth007,Female,4,7,18,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth007,Female,5,9,20,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth010,Female,1,1,12,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth010,Female,2,3,14,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth010,Female,3,5,16,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth010,Female,4,7,18,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth010,Female,5,9,20,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth012,Female,1,1,12,34,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
6-Apr-2026,Eth012,Female,2,3,14,34,Good,pass_qc,,,,
6-Apr-2026,Eth012,Female,3,5,16,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth012,Female,4,7,18,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
6-Apr-2026,Eth012,Female,5,9,20,34,Bad,flat_signal,Many complete flat lines in the trace; primarily ethoscope/tracking noise; some intervals missing data; exact timing varies by pair,tracking_error,Device somewhat noisy; tracking inconsistent vs expectation,High
